user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn
262,2024-01-01,Premium,699,6.6,2,2,27,59,Yes
263,2024-01-02,Basic,199,12.7,8,3,11,31,No
264,2024-01-03,Basic,199,23.7,8,3,6,15,Yes
265,2024-01-04,Basic,199,7.4,7,2,4,34,Yes
266,2024-01-05,Standard,399,22.1,5,3,9,23,Yes
267,2024-01-06,Premium,699,5.3,8,2,36,4,Yes
268,2024-01-07,Premium,699,20.7,1,1,18,6,No
269,2024-01-08,Premium,699,19,3,4,24,32,Yes
270,2024-01-09,Basic,199,3.9,5,3,3,33,Yes
271,2024-01-10,Premium,699,8.5,5,1,9,25,No
272,2024-01-11,Premium,699,12.9,8,4,22,31,Yes
273,2024-01-12,Standard,399,9.5,1,3,2,37,Yes
274,2024-01-13,Premium,699,15.1,4,5,2,50,No
275,2024-01-14,Premium,699,18.2,7,1,15,33,No
276,2024-01-15,Standard,399,20.6,3,0,10,36,No
277,2024-01-16,Basic,199,11.3,6,1,2,26,No
278,2024-01-17,Premium,699,21.9,0,5,31,8,No
279,2024-01-18,Standard,399,13.4,5,1,31,29,No
280,2024-01-19,Premium,699,17.1,4,4,23,30,Yes
281,2024-01-20,Standard,399,7.8,4,2,36,45,Yes
282,2024-01-21,Standard,399,12.3,8,5,21,17,Yes
283,2024-01-22,Premium,699,9.8,6,2,35,49,No
284,2024-01-23,Basic,199,23.9,1,2,19,59,Yes
285,2024-01-24,Premium,699,5.7,8,2,31,59,Yes
286,2024-01-25,Basic,199,15.6,3,1,7,3,No
287,2024-01-26,Basic,199,1.8,6,2,15,45,Yes
288,2024-01-27,Basic,199,24.1,2,3,1,41,No
289,2024-01-28,Standard,399,19,4,2,13,18,No
290,2024-01-29,Premium,699,13.6,0,1,15,26,No
291,2024-01-30,Basic,199,19.8,2,5,26,55,No
292,2024-01-31,Basic,199,14.4,1,2,20,18,No
293,2024-02-01,Premium,699,12.6,2,4,34,29,Yes
294,2024-02-02,Standard,399,18.4,4,5,11,11,Yes
295,2024-02-03,Standard,399,4.8,6,3,13,32,Yes
296,2024-02-04,Premium,699,5,2,3,7,20,No
297,2024-02-05,Standard,399,6.3,4,2,25,19,No
298,2024-02-06,Basic,199,16.5,3,0,17,42,Yes
299,2024-02-07,Basic,199,17.3,4,5,26,7,No
300,2024-02-08,Standard,399,5.9,2,3,15,9,No
301,2024-02-09,Standard,399,17.7,7,4,27,51,Yes
302,2024-02-10,Basic,199,13.4,8,5,6,23,Yes
303,2024-02-11,Basic,199,20.8,8,1,4,36,No
304,2024-02-12,Standard,399,11.3,3,5,34,37,Yes
305,2024-02-13,Standard,399,11.6,8,3,4,29,Yes
306,2024-02-14,Standard,399,18.2,6,2,20,52,Yes
307,2024-02-15,Premium,699,1.6,5,5,5,4,Yes
308,2024-02-16,Basic,199,1.3,6,1,31,49,Yes
309,2024-02-17,Premium,699,9.7,6,3,27,55,No
310,2024-02-18,Standard,399,17.2,8,1,6,41,No
311,2024-02-19,Basic,199,10.1,2,5,35,14,No
312,2024-02-20,Standard,399,17,8,3,30,34,Yes
313,2024-02-21,Basic,199,9,4,1,30,59,No
314,2024-02-22,Basic,199,15.6,0,1,27,13,Yes
315,2024-02-23,Basic,199,15.1,0,1,29,47,Yes
316,2024-02-24,Basic,199,5.8,0,1,35,32,No
317,2024-02-25,Premium,699,14.6,5,1,21,19,No
318,2024-02-26,Premium,699,10.6,4,0,15,35,No
319,2024-02-27,Premium,699,14.1,0,2,28,60,No
320,2024-02-28,Premium,699,17.6,6,1,21,19,No
321,2024-02-29,Standard,399,21.3,4,5,16,9,No
322,2024-03-01,Premium,699,24.2,8,4,27,8,Yes
323,2024-03-02,Basic,199,16.3,7,2,22,5,No
324,2024-03-03,Basic,199,9.7,0,0,18,12,No
325,2024-03-04,Premium,699,5.8,3,2,36,19,No
326,2024-03-05,Basic,199,24.1,1,5,13,48,Yes
327,2024-03-06,Premium,699,10.2,3,4,14,20,No
328,2024-03-07,Standard,399,16.4,4,2,35,23,Yes
329,2024-03-08,Standard,399,20.2,7,2,7,58,Yes
330,2024-03-09,Standard,399,14.3,3,5,3,9,Yes
331,2024-03-10,Premium,699,7.7,3,2,27,14,No
332,2024-03-11,Standard,399,16.5,5,2,36,48,No
333,2024-03-12,Premium,699,11.8,5,1,32,8,No
334,2024-03-13,Basic,199,24.8,0,4,35,2,No
335,2024-03-14,Premium,699,19.2,6,1,4,53,No
336,2024-03-15,Premium,699,0.7,8,3,10,23,Yes
337,2024-03-16,Premium,699,16.7,0,0,31,34,No
338,2024-03-17,Basic,199,18.2,8,2,34,1,No
339,2024-03-18,Premium,699,20.3,2,0,28,58,Yes
340,2024-03-19,Basic,199,15.7,4,2,13,17,No
341,2024-03-20,Standard,399,11.7,3,5,26,14,Yes
342,2024-03-21,Premium,699,2.8,6,3,3,35,Yes
343,2024-03-22,Basic,199,2.5,6,5,11,50,Yes
344,2024-03-23,Premium,699,6.1,7,2,3,2,No
345,2024-03-24,Standard,399,14.3,0,1,35,59,No
346,2024-03-25,Basic,199,18.9,6,0,10,19,Yes
347,2024-03-26,Premium,699,17.1,8,2,25,24,No
348,2024-03-27,Premium,699,12.8,5,0,6,6,No
349,2024-03-28,Standard,399,24.2,5,0,26,40,Yes
350,2024-03-29,Standard,399,9.2,6,3,15,11,No
351,2024-03-30,Standard,399,19.4,4,1,6,45,Yes
352,2024-03-31,Basic,199,17.9,2,5,25,24,Yes
353,2024-04-01,Basic,199,23.6,7,2,1,48,Yes
354,2024-04-02,Basic,199,11.1,8,4,12,32,Yes
355,2024-04-03,Basic,199,14.1,5,3,23,0,Yes
356,2024-04-04,Basic,199,22.7,3,4,36,33,Yes
357,2024-04-05,Basic,199,7.1,4,3,9,9,Yes
358,2024-04-06,Standard,399,7.8,1,2,27,16,No
359,2024-04-07,Standard,399,11.7,2,2,13,0,No
360,2024-04-08,Premium,699,20.2,5,3,25,21,Yes
361,2024-04-09,Premium,699,7.9,3,3,9,20,Yes
362,2024-04-10,Standard,399,18.5,7,4,19,50,Yes
363,2024-04-11,Standard,399,9.4,3,4,26,34,Yes
364,2024-04-12,Basic,199,23.6,3,3,30,51,Yes
365,2024-04-13,Basic,199,17,2,5,27,19,Yes
366,2024-04-14,Basic,199,19.8,1,3,28,38,Yes
367,2024-04-15,Premium,699,23.1,6,4,33,2,No
368,2024-04-16,Premium,699,15,1,0,35,49,Yes
369,2024-04-17,Standard,399,16.4,0,4,11,41,No
370,2024-04-18,Standard,399,3.1,1,2,28,14,Yes
371,2024-04-19,Premium,699,11.4,6,3,15,49,Yes
372,2024-04-20,Premium,699,9,0,3,10,6,Yes
373,2024-04-21,Basic,199,9,5,3,10,50,Yes
374,2024-04-22,Standard,399,2.9,7,2,31,4,Yes
375,2024-04-23,Basic,199,21.3,1,5,2,51,Yes
376,2024-04-24,Premium,699,14,5,4,12,27,No
377,2024-04-25,Standard,399,5.1,6,3,12,1,No
378,2024-04-26,Standard,399,10,3,1,28,17,No
379,2024-04-27,Premium,699,20.1,8,1,7,23,Yes
380,2024-04-28,Basic,199,16.9,7,4,17,40,Yes
381,2024-04-29,Premium,699,14.9,5,2,26,54,Yes
382,2024-04-30,Premium,699,23,1,5,20,8,Yes
383,2024-05-01,Standard,399,5,2,4,8,24,Yes
384,2024-05-02,Premium,699,10.9,7,5,25,34,Yes
385,2024-05-03,Basic,199,4.6,4,1,36,11,Yes
386,2024-05-04,Premium,699,21.7,0,3,4,8,Yes
387,2024-05-05,Premium,699,16.5,6,5,33,31,Yes
388,2024-05-06,Standard,399,2.5,0,1,11,18,Yes
389,2024-05-07,Premium,699,4.6,7,4,19,47,Yes
390,2024-05-08,Premium,699,3.3,1,2,33,49,Yes
391,2024-05-09,Premium,699,19.1,7,4,3,13,No
392,2024-05-10,Premium,699,7.8,0,3,16,16,Yes
393,2024-05-11,Standard,399,19.5,3,1,8,51,No
394,2024-05-12,Standard,399,4.6,2,1,28,52,Yes
395,2024-05-13,Premium,699,13.5,8,1,23,20,No
396,2024-05-14,Standard,399,23.8,8,5,18,52,Yes
397,2024-05-15,Basic,199,21.7,2,5,18,55,Yes
398,2024-05-16,Premium,699,20.8,6,3,21,9,No
399,2024-05-17,Premium,699,9.7,1,5,27,50,No
400,2024-05-18,Standard,399,18.9,5,3,33,60,Yes
401,2024-05-19,Basic,199,18.4,7,5,6,42,Yes
402,2024-05-20,Premium,699,5.8,6,1,26,31,Yes
403,2024-05-21,Standard,399,14.7,7,2,36,57,Yes
404,2024-05-22,Basic,199,15.8,7,0,7,7,No
405,2024-05-23,Standard,399,0.5,6,1,30,44,No
406,2024-05-24,Standard,399,21.9,4,0,11,41,Yes
407,2024-05-25,Standard,399,1.8,4,5,11,44,Yes
408,2024-05-26,Premium,699,17.7,0,1,6,30,Yes
409,2024-05-27,Basic,199,17.2,0,0,34,44,Yes
410,2024-05-28,Standard,399,12.2,3,3,9,5,No
411,2024-05-29,Basic,199,9.5,4,1,21,24,No
412,2024-05-30,Premium,699,2.2,0,4,10,41,Yes
413,2024-05-31,Premium,699,15.9,2,3,14,39,No
414,2024-06-01,Basic,199,3.9,1,4,7,46,Yes
415,2024-06-02,Standard,399,6.6,1,1,9,35,No
416,2024-06-03,Standard,399,21.3,4,1,2,33,No
417,2024-06-04,Premium,699,7.7,0,1,26,31,No
418,2024-06-05,Standard,399,13.4,0,2,5,59,Yes
419,2024-06-06,Premium,699,9.5,2,3,27,49,Yes
420,2024-06-07,Basic,199,6.9,0,0,1,60,No
421,2024-06-08,Standard,399,19.3,6,5,33,25,Yes
422,2024-06-09,Premium,699,7.3,4,0,10,32,No
423,2024-06-10,Premium,699,10.1,1,2,21,44,Yes
424,2024-06-11,Basic,199,2.6,6,0,16,29,Yes
425,2024-06-12,Standard,399,3.4,2,5,12,0,Yes
426,2024-06-13,Premium,699,19.7,4,1,34,23,Yes
427,2024-06-14,Premium,699,19.4,0,2,8,51,Yes
428,2024-06-15,Basic,199,18,1,3,17,29,Yes
429,2024-06-16,Standard,399,9.5,4,0,11,57,No
430,2024-06-17,Basic,199,0.6,0,1,33,2,No
431,2024-06-18,Basic,199,23.3,0,4,12,51,No
432,2024-06-19,Standard,399,8.4,6,5,15,20,Yes
433,2024-06-20,Premium,699,3.4,0,1,24,14,No
434,2024-06-21,Standard,399,22,4,2,5,20,Yes
435,2024-06-22,Basic,199,5.4,4,5,24,39,Yes
436,2024-06-23,Premium,699,24.9,3,5,32,57,Yes
437,2024-06-24,Basic,199,23.3,0,1,1,34,Yes
438,2024-06-25,Basic,199,0.5,6,5,22,46,Yes
439,2024-06-26,Premium,699,10.8,0,1,16,45,Yes
440,2024-06-27,Basic,199,10.6,5,3,34,47,Yes
441,2024-06-28,Premium,699,16.1,6,0,9,37,No
442,2024-06-29,Premium,699,6.3,4,2,9,59,No
443,2024-06-30,Premium,699,8.3,4,1,21,4,No
444,2024-07-01,Premium,699,4.3,2,3,7,29,Yes
445,2024-07-02,Premium,699,24.1,3,3,23,19,No
446,2024-07-03,Basic,199,20.3,4,5,11,44,Yes
447,2024-07-04,Standard,399,2.7,3,2,10,25,Yes
448,2024-07-05,Standard,399,20.6,2,0,17,60,No
449,2024-07-06,Premium,699,6.6,7,0,36,51,No
450,2024-07-07,Basic,199,20.8,3,1,4,12,No
451,2024-07-08,Premium,699,14.8,4,0,6,1,No
452,2024-07-09,Premium,699,20.3,1,2,29,7,Yes
453,2024-07-10,Basic,199,23.1,6,5,11,25,Yes
454,2024-07-11,Premium,699,4.7,3,1,28,17,Yes
455,2024-07-12,Basic,199,16.4,7,3,16,56,Yes
456,2024-07-13,Basic,199,9.9,6,1,18,41,No
457,2024-07-14,Basic,199,20,6,5,35,22,Yes
458,2024-07-15,Standard,399,8.4,4,1,33,1,No
459,2024-07-16,Basic,199,1.9,7,4,18,22,Yes
460,2024-07-17,Basic,199,6.6,3,2,7,34,No
461,2024-07-18,Basic,199,9.2,2,1,25,15,No
